complex_name,protein_path,ligand_description,protein_sequence
Cc1ccc(NC(=O)OC(C)(C)C)cc1CN,GLP1.pdb,Cc1ccc(NC(=O)OC(C)(C)C)cc1CN,
NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,GLP1.pdb,NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,
Cc1cnn(-c2ccc(C(C)N)cc2F)c1,GLP1.pdb,Cc1cnn(-c2ccc(C(C)N)cc2F)c1,
NCc1ccccc1N1CCCC(C(N)=O)C1,GLP1.pdb,NCc1ccccc1N1CCCC(C(N)=O)C1,
CC(C)(C)OC(=O)N1CC(C(F)CN)C1,GLP1.pdb,CC(C)(C)OC(=O)N1CC(C(F)CN)C1,
CC(C)(C)OC(=O)N1CCC2(CCC2N)CC1,GLP1.pdb,CC(C)(C)OC(=O)N1CCC2(CCC2N)CC1,
NCc1cc2ccc(F)cc2[nH]c1=O,GLP1.pdb,NCc1cc2ccc(F)cc2[nH]c1=O,
NC1[C@@H]2C[C@@H]2[C@H]2C[C@@H]12,GLP1.pdb,NC1[C@@H]2C[C@@H]2[C@H]2C[C@@H]12,
NCCc1ccc2c(c1O)OCO2,GLP1.pdb,NCCc1ccc2c(c1O)OCO2,
CC(N)C1(c2ccccc2)CCC1,GLP1.pdb,CC(N)C1(c2ccccc2)CCC1,
CC(N)C1CN(C(=O)OC(C)(C)C)CCO1,GLP1.pdb,CC(N)C1CN(C(=O)OC(C)(C)C)CCO1,
C[C@H](N)c1cccs1,GLP1.pdb,C[C@H](N)c1cccs1,
CC(CN)CC(F)(F)F,GLP1.pdb,CC(CN)CC(F)(F)F,
CC(N)C1CCCN(C(=O)OC(C)(C)C)C1,GLP1.pdb,CC(N)C1CCCN(C(=O)OC(C)(C)C)C1,
NC1CCCN(c2ccc(OC(F)F)cc2)C1=O,GLP1.pdb,NC1CCCN(c2ccc(OC(F)F)cc2)C1=O,
NC1CCCn2ncnc21,GLP1.pdb,NC1CCCn2ncnc21,
Cc1nccn1-c1ccc(F)cc1CN,GLP1.pdb,Cc1nccn1-c1ccc(F)cc1CN,
CC(C)(C)OC(=O)NCC(CN)C(F)(F)F,GLP1.pdb,CC(C)(C)OC(=O)NCC(CN)C(F)(F)F,
CCC(N)c1ccn(C)n1,GLP1.pdb,CCC(N)c1ccn(C)n1,
NCC1CCCCN1Cc1cccc(Cl)c1,GLP1.pdb,NCC1CCCCN1Cc1cccc(Cl)c1,
CC(C)(C)OC(=O)NC1CC(CN)C1,GLP1.pdb,CC(C)(C)OC(=O)NC1CC(CN)C1,
CN1CCCCC1CN,GLP1.pdb,CN1CCCCC1CN,
Cc1c(Br)cccc1CCN,GLP1.pdb,Cc1c(Br)cccc1CCN,
CN1C(C)(C)C(N)CS1(=O)=O,GLP1.pdb,CN1C(C)(C)C(N)CS1(=O)=O,
CC(N)Cc1ccccc1O,GLP1.pdb,CC(N)Cc1ccccc1O,
NCc1ccc2c(n1)CCC2,GLP1.pdb,NCc1ccc2c(n1)CCC2,
NC1CCc2ccccc2C1,GLP1.pdb,NC1CCc2ccccc2C1,
COc1ccccc1C(CN)N(C)C,GLP1.pdb,COc1ccccc1C(CN)N(C)C,
