complex_name,protein_path,ligand_description,protein_sequence
Sc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccco1,GLP1.pdb,Sc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccco1,
O=C(O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1-c1ccccc1,GLP1.pdb,O=C(O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1-c1ccccc1,
CC(C)CCNC(=S)NN,GLP1.pdb,CC(C)CCNC(=S)NN,
CC(C)Cn1c(S)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,CC(C)Cn1c(S)nnc1-c1ccc(Cl)cc1Cl,
Clc1ccc2nc(NCc3ccccc3)sc2c1,GLP1.pdb,Clc1ccc2nc(NCc3ccccc3)sc2c1,
Cc1ccccc1-n1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,Cc1ccccc1-n1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,
CC(C)Cn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,CC(C)Cn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,
C=CCn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,C=CCn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,
CCn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,CCn1c(SCC(=O)O)nnc1-c1ccc(Cl)cc1Cl,
CSCCC(NS(=O)(=O)c1ccc(C)cc1C)C(=O)O,GLP1.pdb,CSCCC(NS(=O)(=O)c1ccc(C)cc1C)C(=O)O,
COCCCn1c(C)cc(C(=O)CCl)c1C,GLP1.pdb,COCCCn1c(C)cc(C(=O)CCl)c1C,
CCN(CC)C(=O)c1ccc(N)cc1,GLP1.pdb,CCN(CC)C(=O)c1ccc(N)cc1,
O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCNCC1,GLP1.pdb,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N1CCNCC1,
O=C(O)c1ccc(Br)c([N+](=O)[O-])c1,GLP1.pdb,O=C(O)c1ccc(Br)c([N+](=O)[O-])c1,
CCCOc1c(Cl)cc(C(=O)O)cc1OCC,GLP1.pdb,CCCOc1c(Cl)cc(C(=O)O)cc1OCC,
CCOc1ccc(Oc2ccc(Cl)cc2N)cc1,GLP1.pdb,CCOc1ccc(Oc2ccc(Cl)cc2N)cc1,
O=[N+]([O-])c1ccc(Br)c2ccncc12,GLP1.pdb,O=[N+]([O-])c1ccc(Br)c2ccncc12,
