ligand_description,complex_name,protein_path,protein_sequence
COCC(C)N1CC(=O)C(c2nc(-c3ccc(Cl)cc3)cs2)=C1N,CHEMBL1407200,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cn1c(=O)n(C)c2cc(CN3C(=O)OC(C)(C)C3(C)O)ccc21,CHEMBL1334336,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(CCNC(=O)CCCn2c(=O)c3cccn3c3cccnc32)c(OC)c1OC,CHEMBL1531380,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(-c2nc(-c3ccccn3)no2)cc1Cl,CHEMBL259805,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C1CN(Cc2cc(=O)oc3cc4c(cc23)CCC4)CCN1,CHEMBL1325486,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2ccccc2)n1,CHEMBL1439445,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1cccc(-c2csc(Nc3cccc(C(F)(F)F)c3)n2)c1)c1ccccc1,CHEMBL1495140,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(=O)Nc1ccc(S(=O)(=O)N(C)CC(=O)OCC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1,CHEMBL1436425,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCn1c(=O)cc(OCC(=O)NCCC(C)C)c2ccccc21,CHEMBL1306995,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(S(=O)(=O)N2C/C=C\CN(S(=O)(=O)c3ccccc3Br)CC2)cc1,CHEMBL3211335,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)Nc2cccc3nc(C)ccc23)cc1OC,CHEMBL1558572,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cl.O=C(O)c1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1,CHEMBL1399531,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(CSc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)Nc1cc(Cl)ccc1O,CHEMBL1426565,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1c(NC(=O)CSc2cccc3cccnc23)c(=O)n(-c2ccccc2)n1C,CHEMBL1430328,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(C)c(S(=O)(=O)c2ccccc2)c(OC(=O)c2c(Cl)cc(Cl)cc2Cl)n1,CHEMBL1307304,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCC(CC)NC(=O)/C=C/c1cccc([N+](=O)[O-])c1,CHEMBL1599951,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCc1ccc(C(=O)N/N=C/c2ccncc2)s1,CHEMBL3195472,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
